scenario_id,journey_id,booking_id,group_id,scenario_type,description,expected_system_behavior
SC0001,J000001,BK000001,GR000001,PRIMARY_DEMO,"Primary RailTogether demo: group members are on B2-31, B2-32, B2-57, B2-58; synthetic candidates are on B2-45, B2-46, B2-60.","Detect the split group, consider only willing candidates, calculate compatibility, and allow an application-level exchange request without treating it as an official railway reservation change."
SC0002,J000001,BK000002,GR000002,GROUP_TOGETHER,Synthetic booking BK000002 has a compact seat pattern; no unnecessary exchange target should be surfaced.,Recognize the group as already together and return zero or very few exchange suggestions.
SC0003,J000001,BK000003,GR000003,GROUP_TOGETHER,Synthetic booking BK000003 has a compact seat pattern; no unnecessary exchange target should be surfaced.,Recognize the group as already together and return zero or very few exchange suggestions.
SC0004,J000001,BK000004,GR000004,GROUP_TOGETHER,Synthetic booking BK000004 has a compact seat pattern; no unnecessary exchange target should be surfaced.,Recognize the group as already together and return zero or very few exchange suggestions.
SC0005,J000001,BK000005,GR000005,GROUP_TOGETHER,Synthetic booking BK000005 has a compact seat pattern; no unnecessary exchange target should be surfaced.,Recognize the group as already together and return zero or very few exchange suggestions.
SC0006,J000001,BK000007,GR000007,GROUP_TOGETHER,Synthetic booking BK000007 has a compact seat pattern; no unnecessary exchange target should be surfaced.,Recognize the group as already together and return zero or very few exchange suggestions.
SC0007,J000001,BK000008,GR000008,GROUP_TOGETHER,Synthetic booking BK000008 has a compact seat pattern; no unnecessary exchange target should be surfaced.,Recognize the group as already together and return zero or very few exchange suggestions.
SC0008,J000001,BK000030,GR000030,GROUP_SPLIT,Synthetic booking BK000030 has intentionally separated group members for matching tests.,Identify that the booking's group is separated and treat it as a valid grouping problem.
SC0009,J000001,BK000031,GR000031,GROUP_SPLIT,Synthetic booking BK000031 has intentionally separated group members for matching tests.,Identify that the booking's group is separated and treat it as a valid grouping problem.
SC0010,J000001,BK000032,GR000032,GROUP_SPLIT,Synthetic booking BK000032 has intentionally separated group members for matching tests.,Identify that the booking's group is separated and treat it as a valid grouping problem.
SC0011,J000001,BK000034,GR000034,GROUP_SPLIT,Synthetic booking BK000034 has intentionally separated group members for matching tests.,Identify that the booking's group is separated and treat it as a valid grouping problem.
SC0012,J000001,BK000035,GR000035,GROUP_SPLIT,Synthetic booking BK000035 has intentionally separated group members for matching tests.,Identify that the booking's group is separated and treat it as a valid grouping problem.
SC0013,J000001,BK000036,GR000036,GROUP_SPLIT,Synthetic booking BK000036 has intentionally separated group members for matching tests.,Identify that the booking's group is separated and treat it as a valid grouping problem.
SC0014,J000001,BK000030,GR000030,EASY_EXCHANGE,"Target seat B1-10 has a same-coach, same-class willing passenger at B1-40.",Identify the willing passenger as a potential exchange candidate and calculate compatibility; do not auto-complete the exchange.
SC0015,J000001,BK000030,GR000030,EASY_EXCHANGE,Variant 1: synthetic easy-exchange candidate remains voluntary and must be evaluated from current preference inputs.,Show a potential candidate only when current eligibility and matching constraints permit it.
SC0016,J000001,BK000030,GR000030,EASY_EXCHANGE,Variant 2: synthetic easy-exchange candidate remains voluntary and must be evaluated from current preference inputs.,Show a potential candidate only when current eligibility and matching constraints permit it.
SC0017,J000001,BK000030,GR000030,EASY_EXCHANGE,Variant 3: synthetic easy-exchange candidate remains voluntary and must be evaluated from current preference inputs.,Show a potential candidate only when current eligibility and matching constraints permit it.
SC0018,J000001,BK000030,GR000030,EASY_EXCHANGE,Variant 4: synthetic easy-exchange candidate remains voluntary and must be evaluated from current preference inputs.,Show a potential candidate only when current eligibility and matching constraints permit it.
SC0019,J000001,BK000030,GR000030,EASY_EXCHANGE,Variant 5: synthetic easy-exchange candidate remains voluntary and must be evaluated from current preference inputs.,Show a potential candidate only when current eligibility and matching constraints permit it.
SC0020,J000001,BK000030,GR000030,NOT_WILLING_TO_EXCHANGE,Candidate seat B1-62 is occupied by a passenger whose consent flag is FALSE (variant 1).,Do not recommend the passenger as an exchange target.
SC0021,J000001,BK000030,GR000030,NOT_WILLING_TO_EXCHANGE,Candidate seat B1-62 is occupied by a passenger whose consent flag is FALSE (variant 2).,Do not recommend the passenger as an exchange target.
SC0022,J000001,BK000030,GR000030,NOT_WILLING_TO_EXCHANGE,Candidate seat B1-62 is occupied by a passenger whose consent flag is FALSE (variant 3).,Do not recommend the passenger as an exchange target.
SC0023,J000001,BK000030,GR000030,NOT_WILLING_TO_EXCHANGE,Candidate seat B1-62 is occupied by a passenger whose consent flag is FALSE (variant 4).,Do not recommend the passenger as an exchange target.
SC0024,J000001,BK000030,GR000030,NOT_WILLING_TO_EXCHANGE,Candidate seat B1-62 is occupied by a passenger whose consent flag is FALSE (variant 5).,Do not recommend the passenger as an exchange target.
SC0025,J000001,BK000030,GR000030,NOT_WILLING_TO_EXCHANGE,Candidate seat B1-62 is occupied by a passenger whose consent flag is FALSE (variant 6).,Do not recommend the passenger as an exchange target.
SC0026,J000001,BK000030,GR000030,MULTIPLE_POSSIBLE_EXCHANGES,"Three eligible candidate seats (B1-39, B1-40, B1-41) are available in the same journey (variant 1).",Calculate distinct compatibility scores and display multiple voluntary options rather than a hard-coded winner.
SC0027,J000001,BK000030,GR000030,MULTIPLE_POSSIBLE_EXCHANGES,"Three eligible candidate seats (B1-39, B1-40, B1-41) are available in the same journey (variant 2).",Calculate distinct compatibility scores and display multiple voluntary options rather than a hard-coded winner.
SC0028,J000001,BK000030,GR000030,MULTIPLE_POSSIBLE_EXCHANGES,"Three eligible candidate seats (B1-39, B1-40, B1-41) are available in the same journey (variant 3).",Calculate distinct compatibility scores and display multiple voluntary options rather than a hard-coded winner.
SC0029,J000001,BK000030,GR000030,MULTIPLE_POSSIBLE_EXCHANGES,"Three eligible candidate seats (B1-39, B1-40, B1-41) are available in the same journey (variant 4).",Calculate distinct compatibility scores and display multiple voluntary options rather than a hard-coded winner.
SC0030,J000001,BK000030,GR000030,MULTIPLE_POSSIBLE_EXCHANGES,"Three eligible candidate seats (B1-39, B1-40, B1-41) are available in the same journey (variant 5).",Calculate distinct compatibility scores and display multiple voluntary options rather than a hard-coded winner.
SC0031,J000001,BK000030,GR000030,MULTIPLE_POSSIBLE_EXCHANGES,"Three eligible candidate seats (B1-39, B1-40, B1-41) are available in the same journey (variant 6).",Calculate distinct compatibility scores and display multiple voluntary options rather than a hard-coded winner.
SC0032,J000001,BK000001,GR000001,SAME_COACH_PREFERENCE,Passenger P000001 allows exchange only within B2 but a willing candidate is in S2 (variant 1).,Exclude the cross-coach candidate when same-coach restriction is active.
SC0033,J000001,BK000001,GR000001,SAME_COACH_PREFERENCE,Passenger P000001 allows exchange only within B2 but a willing candidate is in S2 (variant 2).,Exclude the cross-coach candidate when same-coach restriction is active.
SC0034,J000001,BK000001,GR000001,SAME_COACH_PREFERENCE,Passenger P000001 allows exchange only within B2 but a willing candidate is in S2 (variant 3).,Exclude the cross-coach candidate when same-coach restriction is active.
SC0035,J000001,BK000001,GR000001,SAME_COACH_PREFERENCE,Passenger P000001 allows exchange only within B2 but a willing candidate is in S2 (variant 4).,Exclude the cross-coach candidate when same-coach restriction is active.
SC0036,J000001,BK000001,GR000001,SAME_COACH_PREFERENCE,Passenger P000001 allows exchange only within B2 but a willing candidate is in S2 (variant 5).,Exclude the cross-coach candidate when same-coach restriction is active.
SC0037,J000001,BK000001,GR000001,SAME_COACH_PREFERENCE,Passenger P000001 allows exchange only within B2 but a willing candidate is in S2 (variant 6).,Exclude the cross-coach candidate when same-coach restriction is active.
SC0038,J000001,BK000001,GR000001,DIFFERENT_CLASS,Target passenger in class 3A has a willing candidate in class SL (variant 1).,Reject the different-class candidate when the exchange-same-class rule is active.
SC0039,J000001,BK000001,GR000001,DIFFERENT_CLASS,Target passenger in class 3A has a willing candidate in class SL (variant 2).,Reject the different-class candidate when the exchange-same-class rule is active.
SC0040,J000001,BK000001,GR000001,DIFFERENT_CLASS,Target passenger in class 3A has a willing candidate in class SL (variant 3).,Reject the different-class candidate when the exchange-same-class rule is active.
SC0041,J000001,BK000001,GR000001,DIFFERENT_CLASS,Target passenger in class 3A has a willing candidate in class SL (variant 4).,Reject the different-class candidate when the exchange-same-class rule is active.
SC0042,J000001,BK000001,GR000001,DIFFERENT_CLASS,Target passenger in class 3A has a willing candidate in class SL (variant 5).,Reject the different-class candidate when the exchange-same-class rule is active.
SC0043,J000001,BK000001,GR000001,DIFFERENT_CLASS,Target passenger in class 3A has a willing candidate in class SL (variant 6).,Reject the different-class candidate when the exchange-same-class rule is active.
SC0044,J000001,BK000029,GR000029,BERTH_COMPATIBILITY,Synthetic senior passenger P000088 prefers LOWER; candidate seat B2-31 is also LOWER (variant 1).,Use berth preference as a compatibility signal without overriding consent or class/coach restrictions.
SC0045,J000001,BK000029,GR000029,BERTH_COMPATIBILITY,Synthetic senior passenger P000088 prefers LOWER; candidate seat B2-31 is also LOWER (variant 2).,Use berth preference as a compatibility signal without overriding consent or class/coach restrictions.
SC0046,J000001,BK000029,GR000029,BERTH_COMPATIBILITY,Synthetic senior passenger P000088 prefers LOWER; candidate seat B2-31 is also LOWER (variant 3).,Use berth preference as a compatibility signal without overriding consent or class/coach restrictions.
SC0047,J000001,BK000029,GR000029,BERTH_COMPATIBILITY,Synthetic senior passenger P000088 prefers LOWER; candidate seat B2-31 is also LOWER (variant 4).,Use berth preference as a compatibility signal without overriding consent or class/coach restrictions.
SC0048,J000001,BK000029,GR000029,BERTH_COMPATIBILITY,Synthetic senior passenger P000088 prefers LOWER; candidate seat B2-31 is also LOWER (variant 5).,Use berth preference as a compatibility signal without overriding consent or class/coach restrictions.
SC0049,J000001,BK000029,GR000029,BERTH_COMPATIBILITY,Synthetic senior passenger P000088 prefers LOWER; candidate seat B2-31 is also LOWER (variant 6).,Use berth preference as a compatibility signal without overriding consent or class/coach restrictions.
SC0050,J000002,BK000090,GR000090,NO_POSSIBLE_MATCH,Split group BK000090 has no voluntary compatible candidate after applying explicit consent and coach/class restrictions (variant 1).,Show 'No suitable voluntary exchange found.' and do not fabricate a match.
SC0051,J000002,BK000090,GR000090,NO_POSSIBLE_MATCH,Split group BK000090 has no voluntary compatible candidate after applying explicit consent and coach/class restrictions (variant 2).,Show 'No suitable voluntary exchange found.' and do not fabricate a match.
SC0052,J000002,BK000090,GR000090,NO_POSSIBLE_MATCH,Split group BK000090 has no voluntary compatible candidate after applying explicit consent and coach/class restrictions (variant 3).,Show 'No suitable voluntary exchange found.' and do not fabricate a match.
SC0053,J000002,BK000090,GR000090,NO_POSSIBLE_MATCH,Split group BK000090 has no voluntary compatible candidate after applying explicit consent and coach/class restrictions (variant 4).,Show 'No suitable voluntary exchange found.' and do not fabricate a match.
SC0054,J000002,BK000090,GR000090,NO_POSSIBLE_MATCH,Split group BK000090 has no voluntary compatible candidate after applying explicit consent and coach/class restrictions (variant 5).,Show 'No suitable voluntary exchange found.' and do not fabricate a match.
SC0055,J000002,BK000090,GR000090,NO_POSSIBLE_MATCH,Split group BK000090 has no voluntary compatible candidate after applying explicit consent and coach/class restrictions (variant 6).,Show 'No suitable voluntary exchange found.' and do not fabricate a match.
