file_name,column_name,data_type,description,example,required,foreign_key
trains.csv,train_id,STRING,Stable synthetic train identifier.,TR001,True,PRIMARY KEY
trains.csv,train_number,STRING,Synthetic train number; not a live schedule identifier.,RT90001,True,
trains.csv,train_name,STRING,Synthetic Indian railway-style train name.,Northern Harmony Express,True,
trains.csv,train_type,STRING,Synthetic service category used to choose the coach composition.,SUPERFAST_EXPRESS,True,
trains.csv,origin_station_code,STRING,Origin station code from stations.csv.,NDLS,True,stations.csv.station_code
trains.csv,destination_station_code,STRING,Destination station code from stations.csv.,CDG,True,stations.csv.station_code
trains.csv,total_coaches,INTEGER,Number of coaches on each journey of this train.,11,True,
trains.csv,active_days,STRING,Comma-separated departure weekdays used by the synthetic journey schedule.,Fri,True,
trains.csv,operator,STRING,Synthetic operator label.,Indian Railways Demo,True,
stations.csv,station_id,STRING,Stable synthetic station identifier.,ST0001,True,PRIMARY KEY
stations.csv,station_code,STRING,Synthetic dataset station code; used consistently across routes/trains/journeys.,NDLS,True,UNIQUE
stations.csv,station_name,STRING,Railway-style station name.,New Delhi,True,
stations.csv,city,STRING,City associated with the station.,Delhi,True,
stations.csv,state,STRING,Indian state or union territory.,Delhi,True,
stations.csv,zone,STRING,Synthetic railway-zone category for regional variety.,Northern,True,
routes.csv,route_id,STRING,Stable synthetic route identifier.,RTE001,True,PRIMARY KEY + GROUP
routes.csv,train_id,STRING,Train using this route.,TR001,True,trains.csv.train_id
routes.csv,sequence_number,INTEGER,Station order along the route.,1,True,
routes.csv,station_id,STRING,Station at this route stop.,ST0001,True,stations.csv.station_id
routes.csv,arrival_time,TIME,Scheduled synthetic arrival time at the stop.,04:50,True,
routes.csv,departure_time,TIME,Scheduled synthetic departure time at the stop.,05:00,True,
routes.csv,day_offset,INTEGER,Days after the journey departure date for this stop.,0,True,
routes.csv,distance_from_origin_km,INTEGER,Synthetic cumulative distance; increases along each route.,0,True,
journeys.csv,journey_id,STRING,Stable identifier for one scheduled synthetic trip.,J000001,True,PRIMARY KEY
journeys.csv,train_id,STRING,Train operating this journey.,TR001,True,trains.csv.train_id
journeys.csv,journey_date,DATE,Synthetic journey departure date.,2026-09-25,True,
